Fecha,Cantidad de pasos,Horas sueño,Sueño profundo,Sueño liviano,Sueño puntaje
24/8/2018,9981,9.07,1.51,7.16,93
25/8/2018,8476,7.4,2.06,5.34,87
26/8/2018,10523,5.58,2.47,3.11,81
27/8/2018,8542,10.05,2.48,7.17,79
28/8/2018,8638,8.1,3.07,5.03,83
29/8/2018,10376,6.48,2.02,4.46,87
30/8/2018,8593,7.21,1.51,5.3,89
31/8/2018,10472,7.24,2.4,4.44,78
1/9/2018,12662,8.08,2.25,5.43,85
2/9/2018,12239,5.11,2.26,2.45,79
3/9/2018,9043,9.56,3.22,6.34,89
4/9/2018,13873,7.36,2.09,5.27,84
5/9/2018,13597,7,2.48,4.12,87
6/9/2018,8702,8.06,1.32,6.34,87
7/9/2018,16600,8.15,2.21,5.54,87
8/9/2018,15021,8.31,3.05,5.26,86
9/9/2018,8731,4.39,0.39,4,67
10/9/2018,9625,7.34,2.25,5.09,95
11/9/2018,8468,7.48,2.25,5.23,91
12/9/2018,12577,8,2.18,5.42,91
13/9/2018,9839,7.31,2.4,4.51,88
14/9/2018,17415,7.54,3.02,4.52,91
15/9/2018,12027,6.47,1.56,4.51,83
16/9/2018,16697,5.5,2.24,3.26,76
17/9/2018,8892,7.32,1.14,6.15,92
18/9/2018,9248,9,3.16,5.44,89
19/9/2018,9314,8.08,2.3,5.38,81
20/9/2018,8224,9.13,2.14,6.59,85
21/9/2018,15374,6.59,2.16,4.43,84
22/9/2018,11786,6.12,2.32,3.4,80
23/9/2018,11633,7.54,2.16,5.38,87
